uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier
0d865afa-d8bd-4fd6-a6ff-2e1f79327442,cy_audio_news_chunk_10_1,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_1.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_1.vtt
0670033c-3544-463e-9a7d-beab0d8c71ac,cy_audio_news_chunk_10_10,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_10.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_10.vtt
866117f2-9774-4792-ba45-824b5a047d88,cy_audio_news_chunk_10_11,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_11.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_11.vtt
8c00a635-8595-4e79-8ebc-20caad1e1d55,cy_audio_news_chunk_10_12,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_12.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_12.vtt
05a74f1e-221a-4472-9f4a-e2b1fabb366f,cy_audio_news_chunk_10_13,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_13.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_13.vtt
7fe0fda7-3386-46b8-92d0-1b41fb2e5c39,cy_audio_news_chunk_10_14,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_14.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_14.vtt
e3637126-4ba8-4cc2-8da0-5b82a9268d1b,cy_audio_news_chunk_10_15,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_15.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_15.vtt
3b5ccc41-f5ed-42ed-b37f-0730a89e0b40,cy_audio_news_chunk_10_16,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_16.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_16.vtt
9d13d58d-82c0-4268-9e64-a35a42d59c9c,cy_audio_news_chunk_10_17,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_17.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_17.vtt
6552881a-f26a-4c4b-b365-8d04288d274a,cy_audio_news_chunk_10_18,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_18.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_18.vtt
0e60d74b-424f-41e2-8ad9-f63002fb7333,cy_audio_news_chunk_10_19,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_19.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_19.vtt
126eb922-1102-4f60-891c-bdb9e17a47f9,cy_audio_news_chunk_10_2,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_2.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_2.vtt
1d5e6055-80eb-47b4-9b84-5a1822fa67b4,cy_audio_news_chunk_10_3,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_3.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_3.vtt
34176217-a41e-4072-94c7-4fc634655ab0,cy_audio_news_chunk_10_4,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_4.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_4.vtt
5c2e72fd-188f-45e4-aacf-b772f59c9206,cy_audio_news_chunk_10_5,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_5.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_5.vtt
ceb6c5ef-6725-40e1-abba-4ee29c655e60,cy_audio_news_chunk_10_6,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_6.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_6.vtt
a4dfdcc7-40d3-4288-9df0-0c329b19b968,cy_audio_news_chunk_10_7,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_7.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_7.vtt
5194e50e-a42c-4447-abd8-34ebcd28b711,cy_audio_news_chunk_10_8,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_8.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_8.vtt
bb02e1e3-bcc5-4b8e-a36d-fbdb1c5ac95b,cy_audio_news_chunk_10_9,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_10_9.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_10_9.vtt
64b23339-8f3d-43b4-a225-e13701425dec,cy_audio_news_chunk_11_1,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_1.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_1.vtt
bf18e237-8973-48be-8668-c4782adf461a,cy_audio_news_chunk_11_10,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_10.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_10.vtt
9a659347-0507-4495-8351-1c4df62e7806,cy_audio_news_chunk_11_11,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_11.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_11.vtt
a4f34a85-1426-43b9-9046-d30b123b63d8,cy_audio_news_chunk_11_12,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_12.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_12.vtt
55bf6221-c06a-4001-be4f-abde57d64903,cy_audio_news_chunk_11_13,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_13.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_13.vtt
19001b48-4a55-4995-899b-57a738a8b6c7,cy_audio_news_chunk_11_14,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_14.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_14.vtt
adcce987-d1a1-471a-943a-d7e24d14e12d,cy_audio_news_chunk_11_15,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_15.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_15.vtt
1d249ae5-7d89-46ce-a687-783aa5d4473f,cy_audio_news_chunk_11_16,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_16.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_16.vtt
35430288-c1d3-496a-b0da-9729524a0a4b,cy_audio_news_chunk_11_17,,,https://audio-v1.voiceofcyprus.org/audio_chunks/cy_audio_news_chunk_11_17.mp3,https://image.voiceofcyprus.org/OIP-427564143.jpeg,CY-Audio,webvtt,cy_audio_news_chunk_11_17.vtt
